1 Red
42.035384, -93.583871
42.035428, -93.583125
42.035631, -93.582825
42.036058, -93.582734
42.036082, -93.581548
42.03451, -93.581554

21 Cardinal
42.033876, -93.643337
42.033683, -93.643336
42.033543, -93.643137
42.033559, -93.642558
42.033648, -93.642393
42.033686, -93.640172
42.034135, -93.640193
42.034113, -93.642397
42.034342, -93.642594
42.034336, -93.64318
42.034183, -93.643342
42.033876, -93.643337
42.033862, -93.64473
42.030507, -93.644661
42.030495, -93.641544
42.028886, -93.641512
42.02726, -93.641485
42.026997, -93.641587
42.025068, -93.643931
42.024789, -93.644114
42.024562, -93.645465
42.024586, -93.646356
42.024721, -93.646737
42.024056, -93.648137
42.024068, -93.649306
42.024458, -93.649521
42.025335, -93.651168
42.025355, -93.651887
42.028882, -93.651887
42.028886, -93.641512

22 Gold
42.019137, -93.646377
42.022756, -93.646399
42.023299, -93.646431
42.024167, -93.646882
42.024478, -93.647193
42.024064, -93.648148
42.024068, -93.649312
42.024494, -93.649575
42.025339, -93.651168
42.025355, -93.651892
42.0304, -93.651897
42.030515, -93.650256
42.030491, -93.641539
42.027264, -93.641485
42.027232, -93.639597
42.027059, -93.639168
42.026744, -93.639007
42.025632, -93.638969
42.022773, -93.639484
42.022805, -93.644414
42.01913, -93.644371
42.019137, -93.646377

23 Orange
42.027251, -93.641474
42.028845, -93.641528
42.028861, -93.647954
42.027761, -93.647933
42.0272, -93.647756
42.026419, -93.647922
42.025702, -93.647863
42.024725, -93.646747
42.024582, -93.646334
42.024594, -93.645036
42.024789, -93.644119
42.025055, -93.643942
42.027, -93.641598
42.027251, -93.641474
42.02722, -93.639548
42.027, -93.639108
42.026722, -93.639001
42.025482, -93.638985
42.022698, -93.639495
42.019592, -93.639455
42.019618, -93.637336
42.016233, -93.637275
42.016257, -93.634806
42.016227, -93.634702
42.016234, -93.632359
42.013622, -93.63231
42.012625, -93.63261
42.011547, -93.633831
42.009696, -93.632058
42.008993, -93.633007
42.008984, -93.633437
42.009093, -93.634232
42.008887, -93.6349
42.00851, -93.635249
42.008189, -93.635345
42.007703, -93.635289
42.00714, -93.634855
42.005307, -93.632816

24 Silver
